Algorithm,GraphSize,ExecutionTime,Correctness
Sequential,50,0,1
ParallelV1,50,0,1
ParallelV2,50,0,1
ParallelV3,50,0,1
Sequential,100,0.002,1
ParallelV1,100,0.002,1
ParallelV2,100,0.001,1
ParallelV3,100,0.002,1
Sequential,200,0.033,1
ParallelV1,200,0.038,1
ParallelV2,200,0.008,1
ParallelV3,200,0.035,1
Sequential,500,0.616,1
ParallelV1,500,0.597,1
ParallelV2,500,0.089,1
ParallelV3,500,0.434,1
Sequential,1000,4.323,1
ParallelV1,1000,5.256,1
ParallelV2,1000,0.938,1
ParallelV3,1000,4.019,1
Sequential,2000,34.937,1
ParallelV1,2000,38.99,1
ParallelV2,2000,7.227,1
ParallelV3,2000,31.195,1
